	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
240	SPO-all-SRF-0-8-5-00_bin-775		Amoebozoa	Discosea	Flabellinia		Dactylopodida	Vannellidae	Stygamoeba	Stygamoeba regulata	SPO-all	SRF	0-8-5-00
241	SO-all-SRF-5-20-00_bin-63	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SO-all	SRF	5-20-00
242	MS-all-SRF-0-8-5-00_bin-172	Viridiplantae		Chlorophyta	Mamiellophyceae		Dolichomastigales	Pycnococcaceae	Pycnococcus	Pycnococcus provasolii	MS-all	SRF	0-8-5-00
243	SPO-all-SRF-0-8-5-00_bin-345		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SPO-all	SRF	0-8-5-00
244	SPO-all-SRF-20-180-00_bin-84	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-all	SRF	20-180-00
245	SO-all-SRF-0-8-5-00_bin-90		Prymnesiophyceae	Haptista	Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	SO-all	SRF	0-8-5-00
246	MS-all-SRF-20-180-00_bin-24	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae			MS-all	SRF	20-180-00
247	SPO-all-SRF-5-20-00_bin-20		Sar	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Conticribra weissflogii	SPO-all	SRF	5-20-00
248	SPO-all-SRF-5-20-00_bin-57	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	5-20-00
249	SPO-all-SRF-20-180-00_bin-120	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	20-180-00
250	SPO-SPSG-SRF-0-8-5-00_bin-164		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SPO-SPSG	SRF	0-8-5-00
251	RS-all-DCM-20-180-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	RS-all	DCM	20-180-00
252	NAO-all-SRF-20-180-00_bin-41	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	SRF	20-180-00
253	NAO-all-SRF-0-8-5-00_bin-380		Sar	Bacillariophyta	Dictyochophyceae		Florenciellales		Florenciella		NAO-all	SRF	0-8-5-00
254	SPO-all-SRF-180-2000-00_bin-28	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-all	SRF	180-2000-00
255	IO-all-DCM-0-8-5-00_bin-323	Viridiplantae		Chlorophyta				Pycnococcaceae	Pycnococcus		IO-all	DCM	0-8-5-00
256	SAO-all-DCM-0-8-5-00_bin-271	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	DCM	0-8-5-00
257	IO-all-MES-0-8-5-00_bin-262	Fungi	Opisthokonta	Ascomycota	Saccharomycetes		Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii	IO-all	MES	0-8-5-00
258	SAO-all-DCM-0-8-5-00_bin-159		Prymnesiophyceae	Haptista	Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	SAO-all	DCM	0-8-5-00
259	NAO-all-DCM-0-8-5-00_bin-14		Sar	Bacillariophyta	Coscinodiscophyceae						NAO-all	DCM	0-8-5-00
