ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
MS-all-SRF-0-8-5-00_bin-426	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-374	.	Prymnesiophyceae	Haptista	Haptophyta	.	Isochrysidales	Isochrysidaceae	Isochrysis	Chrysotila carterae	SPO-SPSG	SRF	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-556	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SAO-all	DCM	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-303	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-SPSG	SRF	0-8-5-00
IO-all-SRF-0-8-5-00_bin-105	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	IO-all	SRF	0-8-5-00
IO-all-SRF-0-8-5-00_bin-243	.	Sar	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophycidae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris	IO-all	SRF	0-8-5-00
NAO-all-SRF-20-180-00_bin-67	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	Formicidae	.	.	NAO-all	SRF	20-180-00
SAO-all-SRF-0-8-5-00_bin-49	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Haptolina brevifila	SAO-all	SRF	0-8-5-00
SPO-PEOD-DCM-0-8-5-00_bin-80	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SPO-PEOD	DCM	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-366	.	Prymnesiophyceae	Haptista	Haptophyta	.	Isochrysidales	Isochrysidaceae	Isochrysis	Chrysotila carterae	SAO-all	SRF	0-8-5-00
NPO-all-SRF-180-2000-00_bin-5	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	180-2000-00
SPO-SPSG-SRF-0-8-5-00_bin-578	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SPO-SPSG	SRF	0-8-5-00
IO-all-SRF-180-2000-00_bin-30	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	IO-all	SRF	180-2000-00
RS-all-SRF-20-180-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	RS-all	SRF	20-180-00
SPO-all-SRF-180-2000-00_bin-279	.	Sar	Bacillariophyta	Coscinodiscophyceae	Chaetocerotophycidae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros cf. neogracilis	SPO-all	SRF	180-2000-00
IO-all-MES-0-8-5-00_bin-188	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Acremonium	Acremonium chrysogenum	IO-all	MES	0-8-5-00
MS-all-DCM-0-8-5-00_bin-366	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	MS-all	DCM	0-8-5-00
SO-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SO-all	SRF	20-180-00
SAO-all-DCM-0-8-5-00_bin-350	.	Sar	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophycidae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris	SAO-all	DCM	0-8-5-00
SPO-all-SRF-180-2000-00_bin-303	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
NPO-all-SRF-0-8-5-00_bin-490	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	NPO-all	SRF	0-8-5-00
IO-all-DCM-20-180-00_bin-57	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	DCM	20-180-00
NPO-all-SRF-5-20-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	5-20-00
SPO-all-SRF-0-8-5-00_bin-907	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SPO-all	SRF	0-8-5-00
SPO-SPSG-SRF-180-2000-00_bin-137	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	180-2000-00
SPO-all-SRF-20-180-00_bin-171	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	20-180-00
SPO-all-SRF-180-2000-00_bin-73	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	Formicidae	Lasius	Lasius niger	SPO-all	SRF	180-2000-00
SAO-all-SRF-0-8-5-00_bin-34	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	SAO-all	SRF	0-8-5-00
NPO-all-DCM-20-180-00_bin-29	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	DCM	20-180-00
IO-all-SRF-5-20-00_bin-71	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	IO-all	SRF	5-20-00
