old_mag_name	new_mag_name
MS-all-SRF-180-2000-00_bin-76	TOPAZ_MSS4_E008
MS-all-SRF-180-2000-00_bin-8	TOPAZ_MSS4_E009
MS-all-SRF-180-2000-00_bin-83	TOPAZ_MSS4_E010
MS-all-SRF-180-2000-00_bin-86	TOPAZ_MSS4_E011
MS-all-SRF-180-2000-00_bin-92	TOPAZ_MSS4_E012
MS-all-SRF-180-2000-00_bin-95	TOPAZ_MSS4_E013
MS-all-DCM-20-180-00_bin-15	TOPAZ_MSD3_E001
MS-all-DCM-20-180-00_bin-25	TOPAZ_MSD3_E002
MS-all-DCM-20-180-00_bin-3	TOPAZ_MSD3_E003
MS-all-DCM-20-180-00_bin-38	TOPAZ_MSD3_E004
MS-all-DCM-20-180-00_bin-41	TOPAZ_MSD3_E005
MS-all-DCM-20-180-00_bin-45	TOPAZ_MSD3_E006
MS-all-DCM-20-180-00_bin-72	TOPAZ_MSD3_E007
MS-all-DCM-20-180-00_bin-84	TOPAZ_MSD3_E008
MS-all-SRF-20-180-00_bin-10	TOPAZ_MSS3_E001
MS-all-SRF-20-180-00_bin-12	TOPAZ_MSS3_E002
MS-all-SRF-20-180-00_bin-18	TOPAZ_MSS3_E003
MS-all-SRF-20-180-00_bin-23	TOPAZ_MSS3_E004
MS-all-SRF-20-180-00_bin-24	TOPAZ_MSS3_E005
MS-all-SRF-20-180-00_bin-27	TOPAZ_MSS3_E006
MS-all-SRF-20-180-00_bin-36	TOPAZ_MSS3_E007
MS-all-SRF-20-180-00_bin-4	TOPAZ_MSS3_E008
MS-all-SRF-20-180-00_bin-42	TOPAZ_MSS3_E009
MS-all-SRF-20-180-00_bin-44	TOPAZ_MSS3_E010
MS-all-SRF-20-180-00_bin-58	TOPAZ_MSS3_E011
MS-all-SRF-20-180-00_bin-6	TOPAZ_MSS3_E012
MS-all-SRF-20-180-00_bin-65	TOPAZ_MSS3_E013
MS-all-SRF-20-180-00_bin-70	TOPAZ_MSS3_E014
MS-all-SRF-20-180-00_bin-80	TOPAZ_MSS3_E015
MS-all-SRF-20-180-00_bin-81	TOPAZ_MSS3_E016
MS-all-SRF-20-180-00_bin-86	TOPAZ_MSS3_E017
MS-all-SRF-20-180-00_bin-87	TOPAZ_MSS3_E018
MS-all-SRF-20-180-00_bin-94	TOPAZ_MSS3_E019
MS-all-SRF-20-180-00_bin-98	TOPAZ_MSS3_E020
MS-all-SRF-20-180-00_bin-99	TOPAZ_MSS3_E021
MS-all-DCM-5-20-00_bin-19	TOPAZ_MSD2_E001
MS-all-DCM-5-20-00_bin-24	TOPAZ_MSD2_E002
MS-all-DCM-5-20-00_bin-31	TOPAZ_MSD2_E003
MS-all-DCM-5-20-00_bin-7	TOPAZ_MSD2_E004
MS-all-SRF-5-20-00_bin-10	TOPAZ_MSS2_E001
MS-all-SRF-5-20-00_bin-24	TOPAZ_MSS2_E002
MS-all-SRF-5-20-00_bin-35	TOPAZ_MSS2_E003
MS-all-SRF-5-20-00_bin-53	TOPAZ_MSS2_E004
MS-all-SRF-5-20-00_bin-56	TOPAZ_MSS2_E005
MS-all-SRF-5-20-00_bin-9	TOPAZ_MSS2_E006
MS-all-SRF-5-20-00_bin-93	TOPAZ_MSS2_E007
MS-all-SRF-5-20-00_bin-96	TOPAZ_MSS2_E008
NAO-all-DCM-0-8-5-00_bin-110	TOPAZ_NAD1_E001
NAO-all-DCM-0-8-5-00_bin-13	TOPAZ_NAD1_E002
NAO-all-DCM-0-8-5-00_bin-131	TOPAZ_NAD1_E003
